"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.09.2020","176,45","177,00","177,00","175,50","0,25K","-0,31%"
"11.09.2020","177,00","177,75","178,85","176,00","0,15K","-0,42%"
"10.09.2020","177,75","173,75","178,00","173,75","0,31K","1,92%"
"09.09.2020","174,40","173,25","175,00","173,00","0,31K","0,96%"
"08.09.2020","172,75","171,00","173,00","171,00","0,28K","1,14%"
"07.09.2020","170,80","170,00","171,00","170,00","0,30K","0,62%"
"04.09.2020","169,75","170,00","170,00","169,50","0,45K","0,15%"
"03.09.2020","169,50","169,50","169,75","169,00","0,12K","0,15%"
"02.09.2020","169,25","169,00","169,25","167,75","0,08K","-0,06%"
"01.09.2020","169,35","169,00","169,50","167,75","0,12K","0,21%"
"28.08.2020","169,00","167,05","169,50","167,05","0,22K","0,15%"
"27.08.2020","168,75","167,75","169,00","167,50","0,33K","1,20%"
"26.08.2020","166,75","167,90","167,90","166,50","0,09K","-0,45%"
"25.08.2020","167,50","167,55","167,70","167,00","0,13K","0,81%"
"24.08.2020","166,15","167,00","168,00","166,00","0,09K","-0,06%"
"21.08.2020","166,25","164,75","166,50","164,75","0,22K","1,28%"
"20.08.2020","164,15","164,50","165,00","164,00","0,10K","-0,52%"
"19.08.2020","165,00","164,50","165,00","164,50","0,12K","0,33%"
"18.08.2020","164,45","165,85","166,50","164,00","0,08K","-0,63%"
"17.08.2020","165,50","164,00","166,00","164,00","0,37K","1,10%"
"14.08.2020","163,70","162,50","164,00","162,50","0,24K","0,46%"
"13.08.2020","162,95","163,50","163,50","162,00","0,12K","0,77%"
"12.08.2020","161,70","161,50","162,50","161,50","0,21K","-0,65%"
"11.08.2020","162,75","161,00","162,25","161,00","0,15K","0,93%"
"10.08.2020","161,25","163,00","163,25","161,00","0,43K","-0,86%"
"07.08.2020","162,65","163,05","163,60","162,75","0,06K","-0,55%"
"06.08.2020","163,55","163,50","164,00","162,60","0,30K","-0,27%"
"05.08.2020","164,00","164,15","166,15","163,50","0,07K","0,52%"
"04.08.2020","163,15","163,50","164,30","163,15","0,16K","-0,58%"
"03.08.2020","164,10","164,50","164,50","164,00","0,14K","-1,06%"
"31.07.2020","165,85","166,50","166,50","165,00","0,12K","0,03%"
"30.07.2020","165,80","166,40","166,40","164,00","0,16K","-0,36%"
"29.07.2020","166,40","166,00","166,50","165,50","0,25K","0,42%"
"28.07.2020","165,70","167,00","167,00","165,50","0,20K","-0,72%"
"27.07.2020","166,90","167,00","167,50","166,80","0,05K","-1,10%"
"24.07.2020","168,75","168,00","169,00","168,00","0,11K","0,90%"
"23.07.2020","167,25","168,75","168,75","166,60","0,10K","-0,18%"
"22.07.2020","167,55","167,00","167,50","167,00","0,04K","0,33%"
"21.07.2020","167,00","166,00","167,00","165,75","0,15K","0,30%"
"20.07.2020","166,50","168,45","168,45","165,50","0,10K","-1,33%"
"17.07.2020","168,75","169,00","169,50","168,25","0,08K","0,00%"
"16.07.2020","168,75","170,00","171,00","168,75","0,14K","-0,56%"
"15.07.2020","169,70","168,50","169,50","168,50","0,22K","1,07%"
"14.07.2020","167,90","167,90","169,00","167,90","0,16K","0,60%"
"13.07.2020","166,90","168,00","168,00","167,00","0,02K","-0,95%"
"10.07.2020","168,50","168,65","169,60","167,65","0,11K","-0,56%"
"09.07.2020","169,45","170,05","170,50","169,00","0,29K","0,09%"
"08.07.2020","169,30","168,00","169,75","168,00","0,17K","5,16%"
"07.07.2020","161,00","161,00","161,00","161,00","-","0,00%"
"06.07.2020","161,00","161,00","161,00","161,00","-","0,19%"
"03.07.2020","160,70","160,70","160,70","160,70","-","1,07%"
"02.07.2020","159,00","159,00","159,00","159,00","-","-0,53%"
